Collection,Set Name,Card Name,Value,Release Date
Shadowless,Base Set,Kadabra,5.99,1999-01-09
Shadowless,Base Set,Machoke,1.59,1999-01-09
Shadowless,Base Set,Magikarp,6.71,1999-01-09
Shadowless,Base Set,Magmar,6.39,1999-01-09
Shadowless,Base Set,Porygon,3.67,1999-01-09
Shadowless,Base Set,Seel,2.71,1999-01-09
Shadowless,Base Set,Wartortle,12.78,1999-01-09
Shadowless,Base Set,Abra,2.07,1999-01-09
Shadowless,Base Set,Bulbasaur,9.19,1999-01-09
Shadowless,Base Set,Charmander,5.75,1999-01-09
Shadowless,Base Set,Diglett,1.59,1999-01-09
Shadowless,Base Set,Doduo,1.91,1999-01-09
Shadowless,Base Set,Drowzee,1.59,1999-01-09
Shadowless,Base Set,Gastly,3.11,1999-01-09
Shadowless,Base Set,Koffing,1.99,1999-01-09
Shadowless,Base Set,Machop,0.79,1999-01-09
Shadowless,Base Set,Magnemite,1.75,1999-01-09
Shadowless,Base Set,Onix,1.99,1999-01-09
Shadowless,Base Set,Pidgey,2.95,1999-01-09
Shadowless,Base Set,Pikachu,21.19,1999-01-09
Shadowless,Base Set,Ponyta,0.95,1999-01-09
Shadowless,Base Set,Sandshrew,1.83,1999-01-09
Shadowless,Base Set,Squirtle,11.99,1999-01-09
Shadowless,Base Set,Starmie,1.75,1999-01-09
Shadowless,Base Set,Staryu,0.87,1999-01-09
Shadowless,Base Set,Vulpix,2.07,1999-01-09
Shadowless,Base Set,Energy Retrieval,0.79,1999-01-09
Shadowless,Base Set,Super Potion,1.03,1999-01-09
Shadowless,Base Set,Potion,0.39,1999-01-09
Shadowless,Base Set,Switch,0.71,1999-01-09
Shadowless,Base Set,Alakazam,43.27,1999-01-09
Unlimited,Base Set,Blastoise,126.95,1999-01-09
Unlimited,Base Set,Chansey,25.99,1999-01-09
Unlimited,Base Set,Charizard,379.99,1999-01-09
Unlimited,Base Set,Clefairy,23.99,1999-01-09
Unlimited,Base Set,Machamp,31.99,1999-01-09
Unlimited,Base Set,Magneton,9.99,1999-01-09
Unlimited,Base Set,Mewtwo,32.39,1999-01-09
Unlimited,Base Set,Ninetales,12.39,1999-01-09
Unlimited,Base Set,Raichu,21.99,1999-01-09
Unlimited,Base Set,Venusaur,119.99,1999-01-09
Unlimited,Base Set,Zapdos,30.47,1999-01-09
Unlimited,Base Set,Pidgeotto,6.15,1999-01-09
Unlimited,Base Set,Charmeleon,0.95,1999-01-09
Unlimited,Base Set,Dewgong,1.35,1999-01-09
Unlimited,Base Set,Haunter,0.39,1999-01-09
Unlimited,Base Set,Ivysaur,1.35,1999-01-09
Unlimited,Base Set,Kadabra,1.1,1999-01-09
Unlimited,Base Set,Machoke,0.39,1999-01-09
Unlimited,Base Set,Magikarp,0.79,1999-01-09
Unlimited,Base Set,Magmar,1.35,1999-01-09
Unlimited,Base Set,Porygon,0.95,1999-01-09
Unlimited,Base Set,Seel,0.55,1999-01-09
Unlimited,Base Set,Wartortle,2.31,1999-01-09
Unlimited,Base Set,Abra,0.55,1999-01-09
Unlimited,Base Set,Bulbasaur,0.87,1999-01-09
Unlimited,Base Set,Charmander,0.95,1999-01-09
Unlimited,Base Set,Diglett,0.28,1999-01-09
Unlimited,Base Set,Doduo,0.63,1999-01-09
Unlimited,Base Set,Drowzee,0.39,1999-01-09
Unlimited,Base Set,Gastly,0.47,1999-01-09
Unlimited,Base Set,Koffing,0.31,1999-01-09
Unlimited,Base Set,Machop,0.39,1999-01-09
Unlimited,Base Set,Magnemite,0.31,1999-01-09
Unlimited,Base Set,Onix,0.39,1999-01-09
Unlimited,Base Set,Pidgey,0.55,1999-01-09
Unlimited,Base Set,Pikachu,1.75,1999-01-09
Unlimited,Base Set,Ponyta,0.31,1999-01-09
Unlimited,Base Set,Sandshrew,0.24,1999-01-09
Unlimited,Base Set,Squirtle,1.75,1999-01-09
Unlimited,Base Set,Starmie,0.39,1999-01-09
Unlimited,Base Set,Staryu,0.31,1999-01-09
Unlimited,Base Set,Vulpix,0.39,1999-01-09
Unlimited,Base Set,Energy Retrieval,0.31,1999-01-09
Unlimited,Base Set,Super Potion,0.24,1999-01-09
Unlimited,Base Set,Potion,0.28,1999-01-09
Unlimited,Base Set,Switch,0.39,1999-01-09
Unlimited,Base Set,Alakazam,43.27,1999-01-09
Alternate Copyright (1999-2000),Base Set,Blastoise,126.95,1999-01-09
Alternate Copyright (1999-2000),Base Set,Chansey,25.99,1999-01-09
Alternate Copyright (1999-2000),Base Set,Charizard,379.99,1999-01-09
Alternate Copyright (1999-2000),Base Set,Clefairy,23.99,1999-01-09
Alternate Copyright (1999-2000),Base Set,Machamp,31.99,1999-01-09
Alternate Copyright (1999-2000),Base Set,Magneton,9.99,1999-01-09
Alternate Copyright (1999-2000),Base Set,Mewtwo,32.39,1999-01-09
Alternate Copyright (1999-2000),Base Set,Ninetales,12.39,1999-01-09
Alternate Copyright (1999-2000),Base Set,Raichu,21.99,1999-01-09
Alternate Copyright (1999-2000),Base Set,Venusaur,119.99,1999-01-09
Alternate Copyright (1999-2000),Base Set,Zapdos,30.47,1999-01-09
Alternate Copyright (1999-2000),Base Set,Pidgeotto,6.15,1999-01-09
Alternate Copyright (1999-2000),Base Set,Charmeleon,0.95,1999-01-09
Alternate Copyright (1999-2000),Base Set,Dewgong,1.35,1999-01-09
Alternate Copyright (1999-2000),Base Set,Haunter,0.39,1999-01-09
Alternate Copyright (1999-2000),Base Set,Ivysaur,1.35,1999-01-09
Alternate Copyright (1999-2000),Base Set,Kadabra,1.1,1999-01-09
Alternate Copyright (1999-2000),Base Set,Machoke,0.39,1999-01-09
Alternate Copyright (1999-2000),Base Set,Magikarp,0.79,1999-01-09
Alternate Copyright (1999-2000),Base Set,Magmar,1.35,1999-01-09
Alternate Copyright (1999-2000),Base Set,Porygon,0.95,1999-01-09
Alternate Copyright (1999-2000),Base Set,Seel,0.55,1999-01-09
Alternate Copyright (1999-2000),Base Set,Wartortle,2.31,1999-01-09
Alternate Copyright (1999-2000),Base Set,Abra,0.55,1999-01-09
Alternate Copyright (1999-2000),Base Set,Bulbasaur,0.87,1999-01-09
Alternate Copyright (1999-2000),Base Set,Charmander,0.95,1999-01-09
Alternate Copyright (1999-2000),Base Set,Diglett,0.28,1999-01-09
Alternate Copyright (1999-2000),Base Set,Doduo,0.63,1999-01-09
Alternate Copyright (1999-2000),Base Set,Drowzee,0.39,1999-01-09
Alternate Copyright (1999-2000),Base Set,Gastly,0.47,1999-01-09
Alternate Copyright (1999-2000),Base Set,Koffing,0.31,1999-01-09
Alternate Copyright (1999-2000),Base Set,Machop,0.39,1999-01-09
Alternate Copyright (1999-2000),Base Set,Magnemite,0.31,1999-01-09
Alternate Copyright (1999-2000),Base Set,Onix,0.39,1999-01-09
Alternate Copyright (1999-2000),Base Set,Pidgey,0.55,1999-01-09
Alternate Copyright (1999-2000),Base Set,Pikachu,1.75,1999-01-09
Alternate Copyright (1999-2000),Base Set,Ponyta,0.31,1999-01-09
Alternate Copyright (1999-2000),Base Set,Sandshrew,0.24,1999-01-09
Alternate Copyright (1999-2000),Base Set,Squirtle,1.75,1999-01-09
Alternate Copyright (1999-2000),Base Set,Starmie,0.39,1999-01-09
Alternate Copyright (1999-2000),Base Set,Staryu,0.31,1999-01-09
Alternate Copyright (1999-2000),Base Set,Vulpix,0.39,1999-01-09
Alternate Copyright (1999-2000),Base Set,Energy Retrieval,0.31,1999-01-09
Alternate Copyright (1999-2000),Base Set,Super Potion,0.24,1999-01-09
Alternate Copyright (1999-2000),Base Set,Potion,0.28,1999-01-09
Alternate Copyright (1999-2000),Base Set,Switch,0.39,1999-01-09
Alternate Copyright (1999-2000),Base Set,Machamp,£-,1999-01-09
Trainer Deck A,Base Set,Machoke,£-,1999-01-09
Trainer Deck A,Base Set,Machop,£-,1999-01-09
Trainer Deck A,Base Set,Onix,£-,1999-01-09
Trainer Deck A,Base Set,Sandshrew,£-,1999-01-09
Trainer Deck A,Base Set,Super Potion,£-,1999-01-09
Trainer Deck A,Base Set,Potion,£-,1999-01-09
Trainer Deck A,Base Set,Switch,£-,1999-01-09
Trainer Deck A,Base Set,Blastoise,£-,1999-01-09
Trainer Deck B,Base Set,Pidgeotto,£-,1999-01-09
Trainer Deck B,Base Set,Seel,19.99,1999-01-09
Trainer Deck B,Base Set,Wartortle,£-,1999-01-09
Trainer Deck B,Base Set,Pidgey,£-,1999-01-09
Trainer Deck B,Base Set,Squirtle,£-,1999-01-09
Trainer Deck B,Base Set,Starmie,£-,1999-01-09
Trainer Deck B,Base Set,Staryu,£-,1999-01-09
Trainer Deck B,Base Set,Switch,£-,1999-01-09
Trainer Deck B,Base Set,Machamp,3.99,1999-01-09
Alternate Holo (Cosmos Holo),Base Set,Blastoise,5.83,1999-01-09
Stamp (Classic Collection),Base Set,Charizard,95.99,1999-01-09
Stamp (Classic Collection),Base Set,Raichu,£-,1999-01-09
Stamp (Prerelease),Base Set,Venusaur,5.11,1999-01-09
Stamp (Classic Collection),Base Set,Pikachu,879.99,1999-01-09
Stamp (E3 Red Cheeks),Base Set,Pikachu,15.59,1999-01-09
Stamp (E3),Base Set,Pikachu,299.99,1999-01-09
Stamp (Classic Collection),Base Set,Pikachu,9.59,1999-01-09
Shadowless (Japanese Cardboard),Base Set,Charizard,71.59,1999-01-09
Metal Plate,Base Set,Pikachu,33.51,1999-01-09
Metal Plate,Base Set,Charizard,75.99,1999-01-09
Oversize,Base Set,Bulbasaur,3.19,1999-01-09
Oversize (25th Anniversary),Base Set,Charmander,3.19,1999-01-09
Oversize (25th Anniversary),Base Set,Pikachu,2.71,1999-01-09
Oversize,Base Set,Pikachu,1.59,1999-01-09
Oversize (25th Anniversary),Base Set,Squirtle,1.59,1999-01-09
Oversize (25th Anniversary),Base Set,Blastoise,£-,1999-01-09
Error (Missing Evolution Stage Text),Base Set,Blastoise,£-,1999-01-09
Error (Missing Illustrator Text),Base Set,Blastoise,£-,1999-01-09
Error (Red Ink Spot),Base Set,Chansey,£-,1999-01-09
Error (Black Ink Spot),Base Set,Charizard,£-,1999-01-09
Error (Black Ink Spot),Base Set,Clefairy,£-,1999-01-09
Error (Black Ink Spot),Base Set,Clefairy,£-,1999-01-09
Error (Holo Bleed),Base Set,Machamp,199.99,1999-01-09
Error (Misprinted Border),Base Set,Machamp,£-,1999-01-09
Error (Green Ink Spot),Base Set,Machamp,£-,1999-01-09
Error (Ink Smear),Base Set,Mewtwo,£-,1999-01-09
Error (Ink Smear),Base Set,Ninetales,1199.99,1999-01-09
Error (Missing Damage),Base Set,Ninetales,£-,1999-01-09
Error (Misprinted Text),Base Set,Ninetales,£-,1999-01-09
Error (Yellow Line),Base Set,Venusaur,£-,1999-01-09
Error (Blue Ink Spot),Base Set,Charmeleon,£-,1999-01-09
Error (Ink Smear),Base Set,Charmeleon,£-,1999-01-09
Error (Red Ink Spot),Base Set,Charmeleon,£-,1999-01-09
Error (Blue Ink Spot),Base Set,Wartortle,39.99,1999-01-09
Error (Incorrect Evolution Box),Base Set,Wartortle,£-,1999-01-09
Error (Blue Ink Spot),Base Set,Abra,£-,1999-01-09
Error (Black Ink Spot),Base Set,Bulbasaur,£-,1999-01-09
Error (Ink Smear Shadowless),Base Set,Charmander,£-,1999-01-09
Error (Missing Attack Text),Base Set,Charmander,£-,1999-01-09
Error (Magenta Ink Spot),Base Set,Diglett,2.39,1999-01-09
Error (Misprinted Energy Symbol),Base Set,Machop,£-,1999-01-09
Error (Ink Smear),Base Set,Magnemite,£-,1999-01-09
Error (Blue Ink Spot),Base Set,Pikachu,479.99,1999-01-09
Error (Partial 1st Edition),Base Set,Pikachu,£-,1999-01-09
Error (Magenta Ink Spot),Base Set,Squirtle,£-,1999-01-09
Error (Misprinted Text),Base Set,Squirtle,£-,1999-01-09
Error (Red Ink Spot),Base Set,Staryu,£-,1999-01-09
Error (Blue Ink Spot),Base Set,Vulpix,£-,1999-01-09
Error (1st Edition Blue Ink Spot),Base Set,Vulpix,£-,1999-01-09
Error (Misprinted Border),Base Set,Clefable,55.99,1999-01-09
1st Edition,Jungle,Flareon,119.99,1999-06-16
1st Edition,Jungle,Jolteon,147.03,1999-06-16
1st Edition,Jungle,Kangaskhan,63.99,1999-06-16
1st Edition,Jungle,Pidgeot,95.99,1999-06-16
1st Edition,Jungle,Pinsir,55.99,1999-06-16
1st Edition,Jungle,Scyther,107.99,1999-06-16
1st Edition,Jungle,Snorlax,167.83,1999-06-16
1st Edition,Jungle,Venomoth,47.99,1999-06-16
1st Edition,Jungle,Vileplume,55.99,1999-06-16
1st Edition,Jungle,Clefable,10.39,1999-06-16
1st Edition,Jungle,Flareon,25.59,1999-06-16
1st Edition,Jungle,Jolteon,31.99,1999-06-16
1st Edition,Jungle,Kangaskhan,11.99,1999-06-16
1st Edition,Jungle,Pidgeot,16.36,1999-06-16
1st Edition,Jungle,Pinsir,11.98,1999-06-16
1st Edition,Jungle,Scyther,19.99,1999-06-16
1st Edition,Jungle,Snorlax,25.59,1999-06-16
1st Edition,Jungle,Venomoth,8.79,1999-06-16
1st Edition,Jungle,Vileplume,11.43,1999-06-16
1st Edition,Jungle,Dodrio,3.51,1999-06-16
1st Edition,Jungle,Fearow,4.39,1999-06-16
1st Edition,Jungle,Gloom,3.19,1999-06-16
1st Edition,Jungle,Lickitung,2.39,1999-06-16
1st Edition,Jungle,Persian,2.79,1999-06-16
1st Edition,Jungle,Primeape,3.19,1999-06-16
1st Edition,Jungle,Rapidash,4.79,1999-06-16
1st Edition,Jungle,Seaking,2.79,1999-06-16
1st Edition,Jungle,Eevee,4.87,1999-06-16
1st Edition,Jungle,Exeggcute,0.87,1999-06-16
1st Edition,Jungle,Goldeen,0.79,1999-06-16
1st Edition,Jungle,Jigglypuff,2.39,1999-06-16
1st Edition,Jungle,Mankey,0.87,1999-06-16
1st Edition,Jungle,Meowth,1.59,1999-06-16
1st Edition,Jungle,Oddish,1.19,1999-06-16
1st Edition,Jungle,Paras,0.79,1999-06-16
1st Edition,Jungle,Pikachu,10.79,1999-06-16
1st Edition,Jungle,Spearow,1.75,1999-06-16
1st Edition,Jungle,Venonat,0.79,1999-06-16
1st Edition,Jungle,Clefable,23.99,1999-06-16
Unlimited,Jungle,Flareon,56.79,1999-06-16
Unlimited,Jungle,Jolteon,44.63,1999-06-16
Unlimited,Jungle,Kangaskhan,9.19,1999-06-16
Unlimited,Jungle,Pidgeot,21.99,1999-06-16
Unlimited,Jungle,Pinsir,11.59,1999-06-16
Unlimited,Jungle,Scyther,17.59,1999-06-16
Unlimited,Jungle,Snorlax,26.39,1999-06-16
Unlimited,Jungle,Venomoth,13.83,1999-06-16
Unlimited,Jungle,Vileplume,9.99,1999-06-16
Unlimited,Jungle,Clefable,3.59,1999-06-16
Unlimited,Jungle,Flareon,10.79,1999-06-16
Unlimited,Jungle,Jolteon,10.79,1999-06-16
Unlimited,Jungle,Kangaskhan,3.99,1999-06-16
Unlimited,Jungle,Pidgeot,7.16,1999-06-16
Unlimited,Jungle,Pinsir,3.11,1999-06-16
Unlimited,Jungle,Scyther,11.59,1999-06-16
Unlimited,Jungle,Snorlax,10.39,1999-06-16
Unlimited,Jungle,Venomoth,3.19,1999-06-16
Unlimited,Jungle,Vileplume,5.43,1999-06-16
Unlimited,Jungle,Dodrio,0.32,1999-06-16
Unlimited,Jungle,Fearow,0.55,1999-06-16
Unlimited,Jungle,Gloom,0.39,1999-06-16
Unlimited,Jungle,Lickitung,0.32,1999-06-16
Unlimited,Jungle,Persian,0.47,1999-06-16
Unlimited,Jungle,Primeape,0.55,1999-06-16
Unlimited,Jungle,Rapidash,0.55,1999-06-16
Unlimited,Jungle,Seaking,0.39,1999-06-16
Unlimited,Jungle,Eevee,0.24,1999-06-16
Unlimited,Jungle,Exeggcute,0.28,1999-06-16
Unlimited,Jungle,Goldeen,0.55,1999-06-16
Unlimited,Jungle,Jigglypuff,0.31,1999-06-16
Unlimited,Jungle,Mankey,0.39,1999-06-16
Unlimited,Jungle,Meowth,0.17,1999-06-16
Unlimited,Jungle,Oddish,0.39,1999-06-16
Unlimited,Jungle,Paras,0.32,1999-06-16
Unlimited,Jungle,Pikachu,0.71,1999-06-16
Unlimited,Jungle,Spearow,0.24,1999-06-16
Unlimited,Jungle,Venonat,0.39,1999-06-16
Unlimited,Jungle,Clefable,599.99,1999-06-16
Stamp (Prerelease),Jungle,Pikachu,37.35,1999-06-16
Stamp (W Promotional),Jungle,Meowth,13.67,1999-06-16
Gold Border,Jungle,Clefable,17.59,1999-06-16
Error (Missing Set Symbol),Jungle,Clefable,£-,1999-06-16
Error (Inverted Prerelease Stamp),Jungle,Clefable,£-,1999-06-16
Error (Missing Set Symbol),Jungle,Flareon,79.99,1999-06-16
Error (Missing Set Symbol),Jungle,Flareon,£-,1999-06-16
Error (Magenta Ink Spot),Jungle,Jolteon,71.99,1999-06-16
Error (Missing Set Symbol),Jungle,Kangaskhan,17.59,1999-06-16
Error (Missing Set Symbol),Jungle,Kangaskhan,31.99,1999-06-16
Error (Missing Set Symbol),Jungle,Pidgeot,39.99,1999-06-16
Error (Missing Set Symbol),Jungle,Pinsir,15.59,1999-06-16
Error (Missing Set Symbol),Jungle,Pinsir,£-,1999-06-16
Error (1st Edition Holo Scratch),Jungle,Scyther,43.99,1999-06-16
Error (Missing Set Symbol),Jungle,Snorlax,67.99,1999-06-16
Error (Missing Set Symbol),Jungle,Snorlax,£-,1999-06-16
Error (Missing Set Symbol),Jungle,Venomoth,13.19,1999-06-16
Error (Missing Set Symbol),Jungle,Vileplume,21.99,1999-06-16
Error (Missing Set Symbol),Jungle,Clefable,£-,1999-06-16
Error (Red Ink Spot),Jungle,Kangaskhan,£-,1999-06-16
Error (Ink Smear),Jungle,Snorlax,£-,1999-06-16
Error (1st Edition Misprinted Symbol),Jungle,Persian,£-,1999-06-16
Error (Yellow Ink Spot),Jungle,Eevee,£-,1999-06-16
Error (1st Edition Misprinted Symbol),Jungle,Exeggcute,£-,1999-06-16
Error (Blue Ink Spot),Jungle,Exeggcute,£-,1999-06-16
Error (Ink Smear),Jungle,Jigglypuff,£-,1999-06-16
Error (Blue Ink Spot),Jungle,Oddish,£-,1999-06-16
Error (Black Ink Spot),Jungle,Paras,£-,1999-06-16
Error (Misprinted Text),Jungle,Pikachu,£-,1999-06-16
Error (Red Ink Spot),Jungle,Venonat,£-,1999-06-16
Error (1st Edition Misprinted Border),Jungle,Aerodactyl,55.99,1999-06-16
1st Edition,Fossil,Articuno,101.11,1999-10-10
1st Edition,Fossil,Ditto,60.55,1999-10-10
1st Edition,Fossil,Dragonite,207.83,1999-10-10
1st Edition,Fossil,Gengar,182.23,1999-10-10
1st Edition,Fossil,Haunter,49.51,1999-10-10
1st Edition,Fossil,Hitmonlee,61.51,1999-10-10
1st Edition,Fossil,Hypno,44.71,1999-10-10
1st Edition,Fossil,Lapras,87.99,1999-10-10
1st Edition,Fossil,Magneton,35.99,1999-10-10
1st Edition,Fossil,Moltres,103.99,1999-10-10
1st Edition,Fossil,Muk,35.99,1999-10-10
1st Edition,Fossil,Raichu,71.99,1999-10-10
1st Edition,Fossil,Zapdos,87.99,1999-10-10
1st Edition,Fossil,Aerodactyl,7.99,1999-10-10
1st Edition,Fossil,Articuno,18.79,1999-10-10
1st Edition,Fossil,Ditto,11.59,1999-10-10
1st Edition,Fossil,Dragonite,30.39,1999-10-10
1st Edition,Fossil,Gengar,27.99,1999-10-10
1st Edition,Fossil,Haunter,8.79,1999-10-10
1st Edition,Fossil,Hitmonlee,9.59,1999-10-10
1st Edition,Fossil,Hypno,11.19,1999-10-10
1st Edition,Fossil,Lapras,15.99,1999-10-10
1st Edition,Fossil,Magneton,8.79,1999-10-10
1st Edition,Fossil,Moltres,16.39,1999-10-10
1st Edition,Fossil,Muk,11.19,1999-10-10
1st Edition,Fossil,Raichu,19.99,1999-10-10
1st Edition,Fossil,Zapdos,18.79,1999-10-10
1st Edition,Fossil,Gastly,3.19,1999-10-10
1st Edition,Fossil,Golbat,3.03,1999-10-10
1st Edition,Fossil,Magmar,2.39,1999-10-10
1st Edition,Fossil,Omastar,3.59,1999-10-10
1st Edition,Fossil,Seadra,1.91,1999-10-10
1st Edition,Fossil,Slowbro,2.95,1999-10-10
1st Edition,Fossil,Weezing,1.75,1999-10-10
1st Edition,Fossil,Ekans,0.63,1999-10-10
1st Edition,Fossil,Grimer,1.18,1999-10-10
1st Edition,Fossil,Horsea,0.71,1999-10-10
1st Edition,Fossil,Omanyte,0.47,1999-10-10
1st Edition,Fossil,Psyduck,0.95,1999-10-10
1st Edition,Fossil,Zubat,0.71,1999-10-10
1st Edition,Fossil,Energy Search,0.39,1999-10-10
1st Edition,Fossil,Aerodactyl,12.38,1999-10-10
Unlimited,Fossil,Articuno,40.79,1999-10-10
Unlimited,Fossil,Ditto,24.79,1999-10-10
Unlimited,Fossil,Dragonite,72.23,1999-10-10
Unlimited,Fossil,Gengar,55.99,1999-10-10
Unlimited,Fossil,Haunter,19.35,1999-10-10
Unlimited,Fossil,Hitmonlee,17.03,1999-10-10
Unlimited,Fossil,Hypno,14.39,1999-10-10
Unlimited,Fossil,Lapras,15.19,1999-10-10
Unlimited,Fossil,Magneton,14.39,1999-10-10
Unlimited,Fossil,Moltres,39.99,1999-10-10
Unlimited,Fossil,Muk,9.59,1999-10-10
Unlimited,Fossil,Raichu,23.99,1999-10-10
Unlimited,Fossil,Zapdos,13.99,1999-10-10
Unlimited,Fossil,Aerodactyl,4.95,1999-10-10
Unlimited,Fossil,Articuno,8.79,1999-10-10
Unlimited,Fossil,Ditto,7.19,1999-10-10
Unlimited,Fossil,Dragonite,10.23,1999-10-10
Unlimited,Fossil,Gengar,11.59,1999-10-10
Unlimited,Fossil,Haunter,4.63,1999-10-10
Unlimited,Fossil,Hitmonlee,4.07,1999-10-10
Unlimited,Fossil,Hypno,2.55,1999-10-10
Unlimited,Fossil,Lapras,6.39,1999-10-10
Unlimited,Fossil,Magneton,2.71,1999-10-10
Unlimited,Fossil,Moltres,3.91,1999-10-10
Unlimited,Fossil,Muk,3.43,1999-10-10
Unlimited,Fossil,Raichu,6.7,1999-10-10
Unlimited,Fossil,Zapdos,6.39,1999-10-10
Unlimited,Fossil,Gastly,0.47,1999-10-10
Unlimited,Fossil,Golbat,0.24,1999-10-10
Unlimited,Fossil,Magmar,0.24,1999-10-10
Unlimited,Fossil,Omastar,0.55,1999-10-10
Unlimited,Fossil,Seadra,0.47,1999-10-10
Unlimited,Fossil,Slowbro,0.87,1999-10-10
Unlimited,Fossil,Weezing,0.63,1999-10-10
Unlimited,Fossil,Ekans,0.24,1999-10-10
Unlimited,Fossil,Grimer,0.55,1999-10-10
Unlimited,Fossil,Horsea,0.78,1999-10-10
Unlimited,Fossil,Omanyte,0.39,1999-10-10
Unlimited,Fossil,Psyduck,0.24,1999-10-10
Unlimited,Fossil,Zubat,0.39,1999-10-10
Unlimited,Fossil,Energy Search,0.31,1999-10-10
Unlimited,Fossil,Zapdos,29.59,1999-10-10
Alternate Copyright (1999-2000),Fossil,Aerodactyl,4.95,1999-10-10
Alternate Copyright (1999-2000),Fossil,Articuno,8.79,1999-10-10
Alternate Copyright (1999-2000),Fossil,Ditto,7.19,1999-10-10
Alternate Copyright (1999-2000),Fossil,Dragonite,10.23,1999-10-10
Alternate Copyright (1999-2000),Fossil,Gengar,11.59,1999-10-10
Alternate Copyright (1999-2000),Fossil,Haunter,4.63,1999-10-10
Alternate Copyright (1999-2000),Fossil,Hitmonlee,4.07,1999-10-10
Alternate Copyright (1999-2000),Fossil,Hypno,2.55,1999-10-10
Alternate Copyright (1999-2000),Fossil,Lapras,6.39,1999-10-10
Alternate Copyright (1999-2000),Fossil,Magneton,2.71,1999-10-10
Alternate Copyright (1999-2000),Fossil,Moltres,3.91,1999-10-10
Alternate Copyright (1999-2000),Fossil,Muk,3.43,1999-10-10
Alternate Copyright (1999-2000),Fossil,Raichu,6.7,1999-10-10
Alternate Copyright (1999-2000),Fossil,Zapdos,6.39,1999-10-10
Alternate Copyright (1999-2000),Fossil,Gastly,0.47,1999-10-10
Alternate Copyright (1999-2000),Fossil,Golbat,0.24,1999-10-10
Alternate Copyright (1999-2000),Fossil,Magmar,0.24,1999-10-10
